Seq	Voltage	Current	Wire_Feed_Speed
1	0200	1D40	2886
2	2CC0	1400	2886
3	34C0	1400	2886
4	3640	1F00	2886
5	3680	2180	2886
6	36C0	2280	2886
7	36C0	2380	2886
8	36C0	2440	2886
9	36C0	2380	2886
10	36C0	2380	2886
11	3700	2340	2886
12	36C0	22C0	2886
13	3700	2280	2886
14	3700	2280	2886
15	3700	22C0	2886
16	36C0	2300	2886
17	36C0	2380	2886
18	36C0	2340	2886
19	36C0	2380	2886
20	3700	22C0	2886
21	36C0	2280	2886
22	3700	22C0	2886
23	3700	2340	2886
24	0000	0000	2886
