Seq	Voltage	Current	Wire_Feed_Speed
1	37.20759899290456	105.47035934996566	3.482536049439231
2	27.34416723887999	73.24330510414283	3.482536049439231
3	22.94956893263142	114.2595559624628	3.482536049439231
4	21.87533379110399	132.81452658884567	3.482536049439231
5	21.58236057068742	135.74425879301137	3.482536049439231
6	21.484702830548564	135.74425879301137	3.482536049439231
7	21.484702830548564	136.72083619439996	3.482536049439231
8	21.484702830548564	137.69741359578853	3.482536049439231
9	21.484702830548564	136.72083619439996	3.482536049439231
10	21.484702830548564	136.72083619439996	3.482536049439231
11	21.387045090409703	134.7676813916228	3.482536049439231
12	21.484702830548564	135.74425879301137	3.482536049439231
13	21.484702830548564	134.7676813916228	3.482536049439231
14	21.387045090409703	136.72083619439996	3.482536049439231
15	21.484702830548564	137.69741359578853	3.482536049439231
16	21.484702830548564	136.72083619439996	3.482536049439231
17	21.484702830548564	137.69741359578853	3.482536049439231
18	21.387045090409703	136.72083619439996	3.482536049439231
19	21.58236057068742	135.74425879301137	3.482536049439231
20	21.484702830548564	133.79110399023423	3.482536049439231
21	21.387045090409703	133.79110399023423	3.482536049439231
