Seq	Voltage	Current	Wire_Feed_Speed
1	36.52399481193255	107.42351415274281	3.482536049439231
2	26.95353627832456	82.03250171663997	3.482536049439231
3	22.94956893263142	120.11902037079423	3.482536049439231
4	21.87533379110399	127.93163958190279	3.482536049439231
5	21.58236057068742	132.81452658884567	3.482536049439231
6	21.387045090409703	135.74425879301137	3.482536049439231
7	21.484702830548564	135.74425879301137	3.482536049439231
8	21.387045090409703	138.6739909971771	3.482536049439231
9	21.484702830548564	138.6739909971771	3.482536049439231
10	21.387045090409703	136.72083619439996	3.482536049439231
11	21.387045090409703	134.7676813916228	3.482536049439231
12	21.387045090409703	134.7676813916228	3.482536049439231
13	21.484702830548564	137.69741359578853	3.482536049439231
14	21.484702830548564	138.6739909971771	3.482536049439231
15	21.484702830548564	137.69741359578853	3.482536049439231
16	21.484702830548564	137.69741359578853	3.482536049439231
17	21.387045090409703	136.72083619439996	3.482536049439231
18	21.484702830548564	136.72083619439996	3.482536049439231
19	21.484702830548564	135.74425879301137	3.482536049439231
20	21.484702830548564	137.69741359578853	3.482536049439231
21	21.484702830548564	135.74425879301137	3.482536049439231
22	21.387045090409703	136.72083619439996	3.482536049439231
