Seq	Voltage	Current	Wire_Feed_Speed
1	22784	7360	10374
2	17024	5824	10374
3	14912	7872	10374
4	14208	8384	10374
5	14080	8832	10374
6	14080	8896	10374
7	14016	8896	10374
8	14080	8960	10374
9	14080	8960	10374
10	14080	9024	10374
11	14016	8768	10374
12	14080	8960	10374
13	14016	9152	10374
14	14016	9216	10374
15	14080	9088	10374
16	14016	8960	10374
17	14080	8896	10374
18	14080	8768	10374
19	14016	8832	10374
20	14016	9024	10374
21	14016	9024	10374
22	14016	8896	10374
