Seq	Voltage	Current	Wire_Feed_Speed
1	22784	7296	10374
2	16640	5632	10374
3	14784	7680	10374
4	14272	8512	10374
5	14144	8768	10374
6	14080	8768	10374
7	14080	8768	10374
8	14016	8768	10374
9	14080	8832	10374
10	14080	8960	10374
11	14016	8896	10374
12	14016	8896	10374
13	14080	8960	10374
14	14016	9024	10374
15	14016	9024	10374
16	14080	9088	10374
17	14016	9088	10374
18	14080	9024	10374
19	14016	8960	10374
20	14080	9088	10374
21	14080	8960	10374
22	14080	8832	10374
